key	nubKey	speciesKey	scientificName	species	kingdom	source_checklist	species_is_alien	remarks
152545739	6411098	2927324	Lamium galeobdolon subsp. argentatum (Smejkal) J.Duvign.	Lamium galeobdolon	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152545740	7308043	7308042	Lamium garganicum subsp. garganicum	Lamium garganicum	Plantae	Manual of the Alien Plants of Belgium		
152545787	7455425	5341112	Phyla nodiflora var. minor (Gillies & Hook.) N.O'Leary & Múlgura	Phyla nodiflora	Plantae	Manual of the Alien Plants of Belgium		
152545828	7223680	5341548	Gilia capitata subsp. capitata	Gilia capitata	Plantae	Manual of the Alien Plants of Belgium		
152545829	5659657	5341548	Gilia capitata subsp. mediomontana V.E.Grant	Gilia capitata	Plantae	Manual of the Alien Plants of Belgium		
152545891	4090836	8930531	Armeria maritima subsp. elongata (Hoffm.) Bonnier	Armeria maritima	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152545898	9567226	8290282	Oxybasis glauca var. salina (Standl.) Verloove	Oxybasis glauca	Plantae	Manual of the Alien Plants of Belgium		
152545923	7068845	8971274	Beta vulgaris subsp. vulgaris	Beta vulgaris	Plantae	Manual of the Alien Plants of Belgium		
152545937	7323834	7323833	Amaranthus macrocarpus var. macrocarpus	Amaranthus macrocarpus	Plantae	Manual of the Alien Plants of Belgium		
152545940	7323341	7323340	Amaranthus capensis subsp. capensis	Amaranthus capensis	Plantae	Manual of the Alien Plants of Belgium		
152545945	5548011	7323340	Amaranthus capensis subsp. uncinatus (Thell.) Brenan	Amaranthus capensis	Plantae	Manual of the Alien Plants of Belgium		
152546050	7267492	6364078	Silene nocturna subsp. nocturna	Silene nocturna	Plantae	Manual of the Alien Plants of Belgium		
152546075	7267631	7267630	Dianthus giganteus subsp. giganteus	Dianthus giganteus	Plantae	Manual of the Alien Plants of Belgium		
152546110	5652131	7821030	Polygonum aviculare subsp. rurivagum (Jord. ex Boreau) Berher	Polygonum aviculare	Plantae	Manual of the Alien Plants of Belgium		
152546136	7415922	2888978	Rumex pulcher subsp. woodsii (De Not.) Arcangeli	Rumex pulcher	Plantae	Manual of the Alien Plants of Belgium		
152546138	7901010	2889011	Rumex obtusifolius subsp. sylvestris (Lam.) Celak.	Rumex obtusifolius	Plantae	Manual of the Alien Plants of Belgium		
152546142	4035024	8195144	Rumex crispus subsp. robustus (Rech.) Pestova	Rumex crispus	Plantae	Manual of the Alien Plants of Belgium		
152546143	4036957	2888978	Rumex pulcher subsp. pulcher	Rumex pulcher	Plantae	Manual of the Alien Plants of Belgium		
152546303	7988337	2888778	Valerianella locusta var. oleracea (Schltdl.) Breistr.	Valerianella locusta	Plantae	Manual of the Alien Plants of Belgium		
152546322	3922770		Aconitum napellus var. giganteum (Dumort. ex Thielens) J.Duvigneaud		Plantae	Manual of the Alien Plants of Belgium		
152546402	3602069	2888439	Papaver somniferum subsp. somniferum	Papaver somniferum	Plantae	Manual of the Alien Plants of Belgium		
152546435	3064269	8203538	Euphorbia esula subsp. tommasiniana (Bertol.) Kuzmanov	Euphorbia esula	Plantae	Manual of the Alien Plants of Belgium		
152546440	3065244	3065239	Euphorbia amygdaloides subsp. robbiae (Turrill) Stace	Euphorbia amygdaloides	Plantae	Manual of the Alien Plants of Belgium	FALSE	
152546478	7293222	2873877	Linum austriacum subsp. austriacum	Linum austriacum	Plantae	Manual of the Alien Plants of Belgium		
152546507	5825913	5284809	Pinus nigra subsp. laricio (Poir.) Maire	Pinus nigra	Plantae	Manual of the Alien Plants of Belgium	TRUE	
152546508	7230699	5284809	Pinus nigra subsp. nigra	Pinus nigra	Plantae	Manual of the Alien Plants of Belgium	TRUE	
152546703	2769073	2769069	Camassia leichtlinii subsp. suksdorfii (Greenm.) Gould	Camassia leichtlinii	Plantae	Manual of the Alien Plants of Belgium		
152546743	7421129	8243603	Cyperus longus subsp. badius (Desf.) Bonnier & Layens	Cyperus longus	Plantae	Manual of the Alien Plants of Belgium		
152546744	7070211	8243603	Cyperus longus subsp. longus	Cyperus longus	Plantae	Manual of the Alien Plants of Belgium		
152546762	7227181	2722926	Carex muricata subsp. muricata	Carex muricata	Plantae	Manual of the Alien Plants of Belgium		
152546784	7998563	8010581	Diplachne fusca subsp. fusca	Diplachne fusca	Plantae	Manual of the Alien Plants of Belgium		
152546785	8257546	8010581	Diplachne fusca subsp. fascicularis (Lam.) P.M.Peterson & N.Snow	Diplachne fusca	Plantae	Manual of the Alien Plants of Belgium		
152546786	8369366	8010581	Diplachne fusca subsp. uninervia (J.Presl) P.M.Peterson & N.Snow	Diplachne fusca	Plantae	Manual of the Alien Plants of Belgium		
152546831	7226776	5289686	Setaria verticillata var. verticillata	Setaria verticillata	Plantae	Manual of the Alien Plants of Belgium		
152546942	6710856	4104891	Austrostipa scabra subsp. scabra	Austrostipa scabra	Plantae	Manual of the Alien Plants of Belgium		
152546944	4104890	4104891	Austrostipa scabra subsp. falcata (Hughes) S.W.L.Jacobs & J.Everett	Austrostipa scabra	Plantae	Manual of the Alien Plants of Belgium		
152546949	4131042	2703777	Bromus hordeaceus subsp. longipedicellatus Spalton	Bromus hordeaceus	Plantae	Manual of the Alien Plants of Belgium		
152546991	4270675	2702816	Echinochloa muricata var. muricata	Echinochloa muricata	Plantae	Manual of the Alien Plants of Belgium		
152547042	7226804	2705286	Avena sterilis subsp. sterilis	Avena sterilis	Plantae	Manual of the Alien Plants of Belgium		
152547092	6449041	2705090	Panicum miliaceum subsp. miliaceum	Panicum miliaceum	Plantae	Manual of the Alien Plants of Belgium		
152547124	2706403	7795888	Triticum aestivum subsp. spelta (L.) Thell.	Triticum aestivum	Plantae	Manual of the Alien Plants of Belgium		
152547184	6387033	2687927	Equisetum hyemale subsp. affine (Engelm.) Calder & Roy L.Taylor	Equisetum hyemale	Plantae	Manual of the Alien Plants of Belgium	FALSE	
159747332	2717402	2717400	Eleocharis mamillata subsp. austriaca (Hayek) Strandh.	Eleocharis mamillata	Plantae	Manual of the Alien Plants of Belgium		
159747611	5679819	9393876	Spartina townsendii var. anglica C.E.Hubbard	Sporobolus townsendii	Plantae	WRiMS: World Register of Introduced Marine Species	TRUE	
159748038	8309092	5421039	Ludwigia grandiflora var. hexapetala (Hook. & Arn.) D.B.Ward	Ludwigia grandiflora	Plantae	Manual of the Alien Plants of Belgium	TRUE	
159748460	7068263	8274912	Astragalus pelecinus subsp. pelecinus	Astragalus pelecinus	Plantae	Manual of the Alien Plants of Belgium		
159748543	8167990	5341197	Lycopsis arvensis subsp. orientalis (L.) Kuzn.	Lycopsis arvensis	Plantae	Manual of the Alien Plants of Belgium		
